,A,B,C,D,E
1,City Name,Fiscal Year,Total Revenues,Estimated Population,Revenues Per Capita
2,Banning,2019,80260834,31044,2585
3,Beaumont,2019,74407907,48401,1537
4,Blythe,2019,18024910,19428,928
5,Calimesa,2019,13892401,9159,1517
6,Canyon Lake,2019,6168512,11285,547
7,Cathedral City,2019,90568810,54907,1649
8,Coachella,2019,49670997,46351,1072
9,Corona,2019,365886198,168101,2177
10,Desert Hot Springs,2019,28443202,29251,972
11,Eastvale,2019,38063775,66078,576
12,Hemet,2019,97943137,84754,1156
13,Indian Wells,2019,50539127,5445,9282
14,Indio,2019,159055776,89406,1779
15,Jurupa Valley,2019,53992209,106318,508
16,Lake Elsinore,2019,86746399,62949,1378
17,La Quinta,2019,83793774,42098,1990
18,Menifee,2019,88732376,93452,949
19,Moreno Valley,2019,211345835,208297,1015
20,Murrieta,2019,110754720,118125,938
21,Norco,2019,53558820,26386,2030
22,Palm Desert,2019,111757506,53625,2084
23,Palm Springs,2019,271251311,48733,5566
24,Perris,2019,111143322,76971,1444
25,Rancho Mirage,2019,68949584,18489,3729
26,Riverside,2019,942831959,328101,2874
27,San Jacinto,2019,52582546,48878,1076
28,Temecula,2019,140192073,113826,1232
29,Wildomar,2019,23506765,36066,652
